category,flavor,characteristics
Tropical Fruits,Banana,"sweet, soft, creamy"
Tropical Fruits,Mango,"sweet, juicy, exotic"
Tropical Fruits,Pineapple,"tangy, refreshing, tropical"
Tropical Fruits,Tropical Punch,"sweet, fruity, exotic"
Citrus Fruits,Lemon,"sour, refreshing, citrusy"
Citrus Fruits,Orange,"sweet, citrusy, uplifting"
Stone Fruits,Peach,"sweet, juicy, soft"
Stone Fruits,Watermelon,"sweet, refreshing, summery"
Stone Fruits,Apple,"sweet, crisp, refreshing"
Nutty,Peanut Butter,"nutty, creamy, rich"
Nutty,Hazelnut,"nutty, sweet, rich"
Nutty,Pistachio,"nutty, slightly sweet, mild"
Chocolate-based,Chocolate,"bitter-sweet, rich, creamy"
Chocolate-based,Coconut,"creamy, sweet, nutty"
Chocolate-based,Cookies & Cream,"sweet, creamy, chocolatey"
Dessert,Vanilla,"sweet, creamy, floral"
Dessert,Caramel,"sweet, caramelized, creamy"
None,None,"neutral, undefined"
